"BehaviorSpace results (NetLogo 6.0.4)"
"Simulation fixed.nlogo"
"mean-path-length"
"06/13/2019 16:54:05:744 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-24","24","-24","24"
"[run number]","n-of-communities","revision-frequency","n-of-nodes","prob-rewiring","avg-degree","always-connect-communities?","network-model","link-radius","Reward","noise","stop-when-done?","[step]","mean-path-length"
"79","16","50","512","0.08","10","true","community","1","21","0","true","1","3.5105109466731896"
"80","16","50","512","0.08","10","true","community","1","21","0","true","1","3.481370780332681"
"81","16","50","512","0.08","12","true","community","1","21","0","true","1","3.253868028375734"
"82","16","50","512","0.08","12","true","community","1","21","0","true","1","3.274071978962818"
"83","16","50","512","0.08","14","true","community","1","21","0","true","1","3.1074792074363993"
"84","16","50","512","0.08","14","true","community","1","21","0","true","1","3.102028803816047"
"85","16","50","512","0.08","16","true","community","1","21","0","true","1","2.9530179794520546"
"86","16","50","512","0.08","16","true","community","1","21","0","true","1","2.9512139187866926"
"87","16","50","512","0.08","18","true","community","1","21","0","true","1","2.818516083659491"
"91","16","50","512","0.1","4","true","community","1","21","0","true","1","5.264195511252447"
"92","16","50","512","0.1","4","true","community","1","21","0","true","1","5.3283849070450096"
"88","16","50","512","0.08","18","true","community","1","21","0","true","1","2.8154277764187867"
"89","16","50","512","0.08","20","true","community","1","21","0","true","1","2.752736668297456"
"93","16","50","512","0.1","6","true","community","1","21","0","true","1","4.220095401174168"
"94","16","50","512","0.1","6","true","community","1","21","0","true","1","4.210333598336595"
"95","16","50","512","0.1","8","true","community","1","21","0","true","1","3.710631727005871"
"96","16","50","512","0.1","8","true","community","1","21","0","true","1","3.6337986179060664"
"90","16","50","512","0.08","20","true","community","1","21","0","true","1","2.753562255381605"
"97","16","50","512","0.1","10","true","community","1","21","0","true","1","3.359069227005871"
"98","16","50","512","0.1","10","true","community","1","21","0","true","1","3.3960218933463797"
"99","16","50","512","0.1","12","true","community","1","21","0","true","1","3.1341196795499022"
"100","16","50","512","0.1","12","true","community","1","21","0","true","1","3.1801308708414875"
"101","16","50","512","0.1","14","true","community","1","21","0","true","1","3.0368074241682974"
"102","16","50","512","0.1","14","true","community","1","21","0","true","1","3.00537396037182"
"109","16","50","512","0.2","4","true","community","1","21","0","true","1","false"
"110","16","50","512","0.2","4","true","community","1","21","0","true","1","false"
"103","16","50","512","0.1","16","true","community","1","21","0","true","1","2.8686704990215266"
"104","16","50","512","0.1","16","true","community","1","21","0","true","1","2.8847082925636007"
"105","16","50","512","0.1","18","true","community","1","21","0","true","1","2.774370107632094"
