BehaviorSpace results (NetLogo 6.0.4),,,,,,,,,,,,,
Simulation fixed.nlogo,,,,,,,,,,,,,
mean-path-length,,,,,,,,,,,,,
06/13/2019 17:02:13:649 +0200,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,
-24,24,-24,24,,,,,,,,,,
[run number],n-of-communities,revision-frequency,n-of-nodes,prob-rewiring,avg-degree,always-connect-communities?,network-model,link-radius,Reward,noise,stop-when-done?,[step],mean-path-length
75,16,50,512,0.08,6,TRUE,community,1,21,0,TRUE,1,4.351356103
72,16,50,512,0.05,20,TRUE,community,1,21,0,TRUE,1,2.91927593
76,16,50,512,0.08,6,TRUE,community,1,21,0,TRUE,1,4.377025746
77,16,50,512,0.08,8,TRUE,community,1,21,0,TRUE,1,3.847274034
78,16,50,512,0.08,8,TRUE,community,1,21,0,TRUE,1,3.77490521
79,16,50,512,0.08,10,TRUE,community,1,21,0,TRUE,1,3.47815252
80,16,50,512,0.08,10,TRUE,community,1,21,0,TRUE,1,3.52015044
81,16,50,512,0.08,12,TRUE,community,1,21,0,TRUE,1,3.289070144
82,16,50,512,0.08,12,TRUE,community,1,21,0,TRUE,1,3.278971991
83,16,50,512,0.08,14,TRUE,community,1,21,0,TRUE,1,3.086403804
84,16,50,512,0.08,14,TRUE,community,1,21,0,TRUE,1,3.086464958
86,16,50,512,0.08,16,TRUE,community,1,21,0,TRUE,1,2.939885029
85,16,50,512,0.08,16,TRUE,community,1,21,0,TRUE,1,2.926667992
87,16,50,512,0.08,18,TRUE,community,1,21,0,TRUE,1,2.810122615
88,16,50,512,0.08,18,TRUE,community,1,21,0,TRUE,1,2.827995046
91,16,50,512,0.1,4,TRUE,community,1,21,0,TRUE,1,FALSE
89,16,50,512,0.08,20,TRUE,community,1,21,0,TRUE,1,2.762383806
92,16,50,512,0.1,4,TRUE,community,1,21,0,TRUE,1,5.335417686
90,16,50,512,0.08,20,TRUE,community,1,21,0,TRUE,1,2.739374388
93,16,50,512,0.1,6,TRUE,community,1,21,0,TRUE,1,4.19859956
94,16,50,512,0.1,6,TRUE,community,1,21,0,TRUE,1,4.141045438
95,16,50,512,0.1,8,TRUE,community,1,21,0,TRUE,1,3.685367233
96,16,50,512,0.1,8,TRUE,community,1,21,0,TRUE,1,3.706534369
97,16,50,512,0.1,10,TRUE,community,1,21,0,TRUE,1,3.41491102
98,16,50,512,0.1,10,TRUE,community,1,21,0,TRUE,1,3.408818493
99,16,50,512,0.1,12,TRUE,community,1,21,0,TRUE,1,3.157618334
100,16,50,512,0.1,12,TRUE,community,1,21,0,TRUE,1,3.192721074
101,16,50,512,0.1,14,TRUE,community,1,21,0,TRUE,1,3.018636864
102,16,50,512,0.1,14,TRUE,community,1,21,0,TRUE,1,3.006528253
103,16,50,512,0.1,16,TRUE,community,1,21,0,TRUE,1,2.882162732
104,16,50,512,0.1,16,TRUE,community,1,21,0,TRUE,1,2.861056751
105,16,50,512,0.1,18,TRUE,community,1,21,0,TRUE,1,2.781800391
106,16,50,512,0.1,18,TRUE,community,1,21,0,TRUE,1,2.762727801
109,16,50,512,0.2,4,TRUE,community,1,21,0,TRUE,1,FALSE
110,16,50,512,0.2,4,TRUE,community,1,21,0,TRUE,1,FALSE
111,16,50,512,0.2,6,TRUE,community,1,21,0,TRUE,1,3.872699058
107,16,50,512,0.1,20,TRUE,community,1,21,0,TRUE,1,2.681201076
108,16,50,512,0.1,20,TRUE,community,1,21,0,TRUE,1,2.673113381
112,16,50,512,0.2,6,TRUE,community,1,21,0,TRUE,1,3.855965631
113,16,50,512,0.2,8,TRUE,community,1,21,0,TRUE,1,3.399974009
114,16,50,512,0.2,8,TRUE,community,1,21,0,TRUE,1,3.413359222
115,16,50,512,0.2,10,TRUE,community,1,21,0,TRUE,1,3.128271771
116,16,50,512,0.2,10,TRUE,community,1,21,0,TRUE,1,3.112669704
117,16,50,512,0.2,12,TRUE,community,1,21,0,TRUE,1,2.927119007
118,16,50,512,0.2,12,TRUE,community,1,21,0,TRUE,1,2.91712023
