"BehaviorSpace results (NetLogo 6.0.4)"
"Simulation fixed.nlogo"
"experiment Poging 2"
"06/12/2019 12:56:48:685 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-24","24","-24","24"
"[run number]","n-of-communities","revision-frequency","n-of-nodes","prob-rewiring","avg-degree","always-connect-communities?","network-model","link-radius","Reward","noise","stop-when-done?","[step]","count turtles with [strategy = 1]","count turtles with [strategy = 2]","count turtles with [strategy = 3]","count turtles with [strategy = 4]","exit-code","n-of-links","avg-clustering-coefficient","total-payoffs","walking-average-payoff","ticks"
"54","16","50","512","0.01","20","true","community","1","39","0","true","530","252","0","260","0","only trust","5120","0.5992461436039378","198962020","532429","530"
"34","16","50","512","0.01","20","true","community","1","33","0","true","5000","236","0","251","25","","5120","0.605278680990483","1969344999","424851","5000"
"53","16","50","512","0.01","20","true","community","1","39","0","true","1593","254","0","258","0","only trust","5120","0.6027403927475369","738614792","539838","1593"
"57","16","50","512","0.02","20","true","community","1","21","0","true","85","26","485","0","1","no trust","5120","0.5648736668488754","1180451","1048","85"
"58","16","50","512","0.02","20","true","community","1","21","0","true","99","12","500","0","0","no trust","5120","0.5727745411169727","1206498","506","99"
"59","16","50","512","0.02","20","true","community","1","21","0","true","136","24","488","0","0","no trust","5120","0.5769276991987939","1974427","371","136"
"60","16","50","512","0.02","20","true","community","1","21","0","true","69","18","494","0","0","no trust","5120","0.5714577763341625","1102993","1771","69"
"42","16","50","512","0.01","20","true","community","1","36","0","true","5000","228","0","245","39","","5120","0.5943199573815594","2260655786","435147","5000"
"46","16","50","512","0.01","20","true","community","1","36","0","true","4443","258","0","254","0","only trust","5120","0.6101990907144926","1919978728","495530","4443"
"61","16","50","512","0.02","20","true","community","1","21","0","true","84","22","489","0","1","no trust","5120","0.5771375427383628","1404890","1061","84"
"62","16","50","512","0.02","20","true","community","1","21","0","true","79","14","497","0","1","no trust","5120","0.5592595027636273","1275642","1636","79"
"55","16","50","512","0.01","20","true","community","1","39","0","true","1508","255","0","257","0","only trust","5120","0.6080303118858896","706089763","536670","1508"
"63","16","50","512","0.02","20","true","community","1","21","0","true","92","27","485","0","0","no trust","5120","0.5701260840701416","1296198","1494","92"
"64","16","50","512","0.02","20","true","community","1","21","0","true","115","20","492","0","0","no trust","5120","0.5718765175083174","1403068","337","115"
"65","16","50","512","0.02","20","true","community","1","24","0","true","87","29","483","0","0","no trust","5120","0.5589760658934304","1671896","1279","87"
"66","16","50","512","0.02","20","true","community","1","24","0","true","116","13","499","0","0","no trust","5120","0.5604911969551298","2209130","682","116"
"67","16","50","512","0.02","20","true","community","1","24","0","true","124","23","489","0","0","no trust","5120","0.5627411611172074","1918320","312","124"
"68","16","50","512","0.02","20","true","community","1","24","0","true","89","14","498","0","0","no trust","5120","0.562998669681415","1813226","1438","89"
"69","16","50","512","0.02","20","true","community","1","24","0","true","99","33","479","0","0","no trust","5120","0.5653131977129369","1605422","800","99"
"70","16","50","512","0.02","20","true","community","1","24","0","true","77","30","482","0","0","no trust","5120","0.5661487044017066","1016816","1283","77"
"71","16","50","512","0.02","20","true","community","1","24","0","true","102","29","483","0","0","no trust","5120","0.5774938476667004","1716476","708","102"
"72","16","50","512","0.02","20","true","community","1","24","0","true","125","14","498","0","0","no trust","5120","0.5782169602514963","2063480","472","125"
"56","16","50","512","0.01","20","true","community","1","39","0","true","837","252","0","260","0","only trust","5120","0.6031770253117791","337711566","537111","837"
